"date","close","volume","open","high","low"
"16:00","23.96","63,547,025","24.19","24.68","23.64"
"2016/11/08","23.9600","63417380.0000","24.1900","24.6800","23.6400"
"2016/11/07","24.0800","91674980.0000","24.2200","24.3500","23.7500"
"2016/11/04","25.0700","64600380.0000","25.2900","25.3300","24.6500"
"2016/11/03","25.3000","67286500.0000","24.7800","25.4700","24.7300"
"2016/11/02","24.7600","114410700.0000","25.6900","25.9300","24.5500"
"2016/11/01","25.1300","86611410.0000","25.0800","25.5800","24.9100"
"2016/10/31","24.5200","73799550.0000","23.9600","24.5500","23.7400"
"2016/10/28","23.8100","61708390.0000","23.6700","24.2900","23.4300"
"2016/10/27","23.7300","64860430.0000","24.3200","24.3600","23.4800"
"2016/10/26","24.1300","80721800.0000","24.6200","24.7500","23.8600"
"2016/10/25","24.6500","68828060.0000","24.2900","24.9300","24.1800"
"2016/10/24","24.0900","68974840.0000","24.8600","24.8700","23.7900"
"2016/10/21","24.6200","34284520.0000","24.7100","24.7800","24.4000"
"2016/10/20","24.8100","39311000.0000","24.8600","24.9400","24.3750"
"2016/10/19","24.8700","88167970.0000","24.6500","24.9900","24.3600"
"2016/10/18","24.2000","80737370.0000","23.8200","24.2650","23.5500"
"2016/10/17","23.3400","43446710.0000","23.1500","23.4700","23.0000"
"2016/10/14","22.9900","68074730.0000","23.1400","23.6350","22.9100"
"2016/10/13","23.4900","78259730.0000","23.2100","24.0850","23.0300"
"2016/10/12","23.0700","77529830.0000","22.7100","23.3600","22.6200"
"2016/10/11","22.5800","76074470.0000","22.8900","23.0800","22.5000"
"2016/10/10","23.1600","39555590.0000","23.1700","23.3900","22.9650"
"2016/10/07","23.0000","82932320.0000","23.5700","23.7400","22.5900"
"2016/10/06","22.8400","99157850.0000","22.8300","23.2100","22.5800"
"2016/10/05","23.5800","107371700.0000","23.8400","23.9800","22.9300"
"2016/10/04","23.4000","232113500.0000","25.1000","25.1000","23.3800"
"2016/10/03","25.9600","60510070.0000","26.3500","26.5700","25.6500"
"2016/09/30","26.4300","45275640.0000","27.2100","27.2450","26.3300"
"2016/09/29","26.6900","43486620.0000","26.5700","26.9200","26.3200"
"2016/09/28","26.9100","76690190.0000","26.2700","27.1100","25.8600"
"2016/09/27","26.2800","63197710.0000","26.4900","26.5850","26.0100"
"2016/09/26","26.7800","34985780.0000","27.2100","28.0800","26.7350"
"2016/09/23","27.0200","70689320.0000","27.6900","27.7700","26.7500"
"2016/09/22","27.7400","73737680.0000","28.2500","28.5600","27.4500"
"2016/09/21","27.9000","154498700.0000","26.6200","28.0100","26.5400"
"2016/09/20","26.0600","36448020.0000","26.1100","26.2900","25.8600"
"2016/09/19","26.0900","75481630.0000","26.3700","26.4100","26.0100"
"2016/09/16","25.9600","78268680.0000","25.8400","26.3100","25.5600"
"2016/09/15","26.1800","67762530.0000","25.9700","26.6400","25.6000"
"2016/09/14","26.0100","58606440.0000","26.3100","26.6650","25.8600"
"2016/09/13","26.0600","100572500.0000","26.7400","26.8000","25.6850"
"2016/09/12","27.0400","103932900.0000","25.9500","27.2800","25.8600"
"2016/09/09","26.4100","147287000.0000","27.5100","27.5200","26.2450"
"2016/09/08","27.9000","86827180.0000","28.3500","28.6101","27.7000"
"2016/09/07","28.5200","76532890.0000","28.6000","28.6500","27.7750"
"2016/09/06","28.6800","109234500.0000","27.9200","28.7000","27.6700"
"2016/09/02","27.3500","105209500.0000","27.2500","27.4600","26.7900"
"2016/09/01","26.4200","131715200.0000","25.3500","26.4700","25.1700"
"2016/08/31","25.4900","76873640.0000","25.6000","25.8500","25.3300"
"2016/08/30","25.9000","104090200.0000","26.9800","27.0900","25.6600"
"2016/08/29","27.2400","57203250.0000","26.9000","27.5200","26.7200"
"2016/08/26","27.1800","109029900.0000","27.8900","28.4300","26.8200"
"2016/08/25","27.3100","68622550.0000","26.9600","27.8600","26.6400"
"2016/08/24","26.9700","167791100.0000","28.6200","28.6500","26.8400"
"2016/08/23","29.0200","57380590.0000","29.7200","29.7700","28.9800"
"2016/08/22","29.4600","47941520.0000","29.5000","29.5900","29.3000"
"2016/08/19","29.9600","61755300.0000","30.1400","30.3250","29.8600"
"2016/08/18","30.7500","60196050.0000","30.6300","30.7800","30.3200"
"2016/08/17","30.3700","78485200.0000","30.5000","30.6200","29.6600"
"2016/08/16","30.8100","35352980.0000","30.9200","31.0850","30.6400"
"2016/08/15","30.8600","39808840.0000","31.1000","31.3000","30.7400"
"2016/08/12","31.0500","44111250.0000","31.7600","31.7900","30.9200"
"2016/08/11","31.0400","48748410.0000","31.3200","31.7850","30.9800"
"2016/08/10","31.3000","56239110.0000","31.5400","31.6900","30.9700"
"2016/08/09","30.7600","42507260.0000","30.7400","30.9500","30.5900"
"2016/08/08","30.5000","43721000.0000","30.2000","30.8100","30.1500"
