Date,Open,High,Low,Close,Volume,Adj Close
2016-11-04,25.290001,25.33,24.65,25.07,61150900,25.07
2016-11-03,24.780001,25.469999,24.73,25.299999,58330300,25.299999
2016-11-02,25.690001,25.93,24.549999,24.76,105580800,24.76
2016-11-01,25.08,25.58,24.91,25.129999,85519900,25.129999
2016-10-31,23.959999,24.549999,23.74,24.52,63974000,24.52
2016-10-28,23.67,24.290001,23.43,23.809999,60025100,23.809999
2016-10-27,24.32,24.360001,23.48,23.73,59057600,23.73
2016-10-26,24.620001,24.75,23.860001,24.129999,75684500,24.129999
2016-10-25,24.290001,24.93,24.18,24.65,67093100,24.65
2016-10-24,24.860001,24.870001,23.790001,24.09,65409800,24.09
2016-10-21,24.709999,24.780001,24.40,24.620001,29873700,24.620001
2016-10-20,24.860001,24.940001,24.379999,24.809999,38334800,24.809999
2016-10-19,24.65,24.99,24.360001,24.870001,78914300,24.870001
2016-10-18,23.82,24.27,23.549999,24.200001,69944200,24.200001
2016-10-17,23.15,23.469999,23.00,23.34,39915900,23.34
2016-10-14,23.139999,23.639999,22.91,22.99,61842800,22.99
2016-10-13,23.209999,24.09,23.030001,23.49,74503900,23.49
2016-10-12,22.709999,23.360001,22.620001,23.07,73655000,23.07
2016-10-11,22.889999,23.08,22.50,22.58,73049600,22.58
2016-10-10,23.17,23.389999,22.969999,23.16,35637900,23.16
